taxon	metabolite	spearman_rho	p_value	n_samples	correlation_fdr	abs_rho	correlation_direction	taxon_label	metabolite_label
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C8p_QI7970	-0.489553014546751	1.1594148963233077e-7	105	4.5217180956609e-4	0.489553014546751	negative	Ruminococcus	C8p QI7970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	C18n_QI4874	0.46417750090569937	6.116225337999037e-7	105	5.86735618782575e-4	0.46417750090569937	positive	Clostridium	C18n QI4874
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	C18n_QI4874	0.4627830140477948	6.67592124763934e-7	105	5.86735618782575e-4	0.4627830140477948	positive	Eggerthella	C18n QI4874
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI4874	0.4621453862280095	6.947736942818542e-7	105	5.86735618782575e-4	0.4621453862280095	positive	Coprobacillus	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILn_QI25565	0.45855664990529404	8.684443149288854e-7	105	5.86735618782575e-4	0.45855664990529404	positive	Anaerotruncus	HILn QI25565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C8p_QI10300	-0.45793074849678617	9.026701827424231e-7	105	5.86735618782575e-4	0.45793074849678617	negative	Ruminococcus	C8p QI10300
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI11958	-0.44993816290629884	1.4688963890146695e-6	105	8.183851310224586e-4	0.44993816290629884	negative	Anaerotruncus	C18n QI11958
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI9275	-0.44361715306629435	2.1402872546405447e-6	105	0.0010433900366372656	0.44361715306629435	negative	Anaerotruncus	HILp QI9275
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	C18n_QI2966	0.44023252248611844	2.610179474386568e-6	105	0.0011310777722341795	0.44023252248611844	positive	Odoribacter	C18n QI2966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI3032	0.4343104477523329	3.675198819442957e-6	105	0.0014333275395827533	0.4343104477523329	positive	Faecalibacterium	HILp QI3032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2966	0.4282001594173407	5.196506608697996e-6	105	0.0015597372673967374	0.4282001594173407	positive	Anaerotruncus	C18n QI2966
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	C18n_QI4874	0.42811264934271764	5.222094893666154e-6	105	0.0015597372673967374	0.42811264934271764	positive	Acidaminococcus	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI376	0.426176653535144	5.819529706303414e-6	105	0.0015597372673967374	0.426176653535144	positive	Faecalibacterium	HILp QI376
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI3804	-0.42572953077131126	5.966387864944356e-6	105	0.0015597372673967374	0.42572953077131126	negative	Anaerotruncus	C18n QI3804
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI3682	0.4256316809211501	5.9989894899874515e-6	105	0.0015597372673967374	0.4256316809211501	positive	Anaerotruncus	C18n QI3682
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	C18n_QI7436	0.4196048605693657	8.364346381595276e-6	105	0.0020388094305138485	0.4196048605693657	positive	Coprobacillus	C18n QI7436
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	C18n_QI4874	0.4180661232065873	9.095900230667514e-6	105	0.002086706523506077	0.4180661232065873	positive	Klebsiella	C18n QI4874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	C18n_QI2320	0.41577115112083635	1.029969836124572e-5	105	0.0022316013116032395	0.41577115112083635	positive	Anaerotruncus	C18n QI2320
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	HILp_QI2044	0.4116317644619531	1.2858514437476384e-5	105	0.0026393792792714682	0.4116317644619531	positive	Faecalibacterium	HILp QI2044
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C8p_QI21618	-0.4075722876864313	1.5939217218387704e-5	105	0.003108147357585602	0.4075722876864313	negative	Ruminococcus	C8p QI21618
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	HILp_QI9931	0.40583455996946494	1.745929550019799e-5	105	0.003242440592893913	0.40583455996946494	positive	Anaerotruncus	HILp QI9931
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	C8p_QI6409	-0.4035431711086311	1.967230720149541e-5	105	0.0034873635493560045	0.4035431711086311	negative	Ruminococcus	C8p QI6409
